Col 1,UID,Name,Rec,DOB,Inf,Club,Based,Nat,Height,Weight,Age,Position,Transfer Value,Media Description,Rc Injury,Preferred Foot,Left Foot,Right Foot,Caps,AT Apps,AT Gls,AT Lge Apps,AT Lge Gls,Team,Yth Apps,Yth Gls,Acc,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat.1,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Vers,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Amb,Ada,Cons,Cont,Media Handling
0,2002078863,Scott King,- - -,10/9/2004 (17 years old),Ama,Colorado International,U.S.A. (Mountain Division),USA,"5'9""",65 kg,17,AM (R),0$,Young winger,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,12,11,5,2,13,11,5,5,7,1,1,1,4,3,8,10,3,10,12,3,4,6,12,2,4,6,2,6,12,8,9,3,15,12,9,6,3,6,6,3,1,8,12,8,13,8,3,12,8,13,10,14,9,11,10,15,11,7,14,11,Media-friendly
1,2002078833,José González,- - -,23/10/2004 (17 years old),Ctr,NC Fusion U23,U.S.A. (South Atlantic Division),USA,"5'4""",56 kg,17,M (C),0$,Young midfielder,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,9,13,10,3,15,17,6,4,9,2,1,3,9,6,15,10,3,9,8,10,4,7,11,4,1,6,3,8,9,13,5,2,6,11,9,6,5,8,12,3,2,6,10,8,12,10,1,9,10,8,11,14,9,3,12,14,11,6,9,8,Media-friendly
2,2002078815,Chase Crane,- - -,6/12/2004 (17 years old),Ctr,NC Fusion U23,U.S.A. (South Atlantic Division),USA,"6'2""",77 kg,17,GK,0$,Young goalkeeper,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,7,5,3,9,7,9,3,8,6,11,16,13,6,1,5,6,11,2,15,2,1,3,1,7,12,1,13,6,3,5,2,1,3,16,9,1,2,5,5,11,11,6,13,9,11,4,9,12,17,12,15,9,11,2,8,15,13,10,8,9,Level-headed
3,2002078813,Emmanuel Araiza,- - -,30/11/2004 (17 years old),Ctr,Oly Town FC,U.S.A. (Northwest Division),USA,"6'1""",74 kg,17,D (C),0$,Young center back,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,10,7,7,3,10,11,9,7,9,3,1,2,9,5,8,13,3,6,9,8,7,7,13,1,10,10,3,3,3,8,4,1,4,12,9,5,6,8,8,2,3,16,10,10,13,6,3,14,17,17,10,12,10,4,13,12,10,13,10,10,Media-friendly
4,2002078799,Yang Xiaofeng,- - -,30/6/2004 (17 years old),Ctr,Oly Town FC,U.S.A. (Northwest Division),CHN,"6'0""",72 kg,17,D (LC),0$,Young center back,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,12,14,5,1,10,12,7,5,9,2,3,3,5,3,7,8,2,3,7,6,6,3,2,3,9,5,2,3,2,6,2,4,4,1,10,8,4,7,5,3,2,17,6,6,9,14,2,8,11,12,13,9,11,14,7,7,6,11,7,5,Level-headed
5,2002078794,Arman Hovhannisyan,- - -,15/12/2005 (16 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"6'0""",66 kg,16,AM (C),0$,Young attacking midfielder,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,9,9,8,2,15,7,7,5,7,3,1,1,7,5,12,10,3,10,16,4,5,8,7,3,12,7,4,10,14,15,10,4,9,14,8,7,11,6,9,1,2,10,7,9,13,9,1,11,14,17,16,13,14,10,12,10,14,6,10,7,Level-headed
6,2002078793,Abdul Bangura,- - -,6/8/2006 (15 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"5'9""",60 kg,15,M (L),0$,Young winger,-,Left,Very Strong,Reasonable,0,-,-,-,-,,-,-,13,13,7,3,10,18,6,4,9,3,4,2,4,4,12,10,1,9,5,3,5,6,8,2,7,4,3,4,9,7,7,1,10,13,7,10,7,6,6,1,4,8,6,8,10,14,1,11,9,9,11,11,10,8,12,15,7,7,10,12,Media-friendly
7,2002078792,Kevin López,- - -,1/10/2006 (15 years old),Ama,Sacramento United,U.S.A. (Southwest Division),GUA,"5'9""",61 kg,15,M (C),0$,Young midfielder,-,Right,Fairly Strong,Very Strong,0,-,-,-,-,,-,-,14,11,6,1,10,7,9,7,11,3,3,4,6,3,9,14,2,6,7,6,3,7,1,2,6,6,3,5,6,6,5,3,6,1,7,5,5,6,8,3,2,8,7,7,15,8,1,10,11,11,12,14,12,13,15,6,4,13,9,14,Media-friendly
8,2002078791,Patrick Bryan,- - -,28/1/2005 (17 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"5'10""",71 kg,17,ST (C),0$,Young striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,8,9,7,2,14,11,5,9,10,2,3,2,8,15,9,11,3,9,8,5,7,9,12,1,12,17,1,6,11,9,10,4,12,9,12,9,6,8,11,3,1,13,10,11,11,11,2,12,16,18,11,10,8,10,14,9,10,9,13,8,Media-friendly
9,2002078790,Adam Green,- - -,23/8/2006 (15 years old),Ama,Sacramento United,U.S.A. (Southwest Division),USA,"6'0""",71 kg,15,ST (C),0$,Promising striker,-,Right,Reasonable,Very Strong,0,-,-,-,-,,-,-,11,8,7,1,11,7,6,14,11,2,2,2,8,5,8,9,3,9,13,4,3,8,1,3,11,16,1,11,15,12,7,2,10,10,12,7,9,7,8,3,1,10,11,10,8,11,2,10,11,14,13,9,7,13,7,10,15,6,6,8,Media-friendly
